1,1,1,1,1,1,1,1,1,1,1
0.9026,-1,0.8918,0.905833333,-1,0.894,10000,6000,5000,1,0
0.8882,-1,0.8572,0.8775,-1,0.8585,10000,6000,5000,1,0
0.9064,-1,0.8372,0.897833333,-1,0.834166667,10000,6000,5000,1,0
0.9058,-1,0.865,0.912166667,-1,0.869166667,10000,6000,5000,1,0
0.9696,-1,0.8718,0.974333333,-1,0.866666667,10000,6000,5000,1,0
0.9476,-1,0.8716,0.947833333,-1,0.872666667,10000,6000,5000,6000,1
0.8644,-1,0.8014,0.864166667,-1,0.806,10000,6000,5000,6000,1
0.8788,-1,0.843,0.877166667,-1,0.836666667,10000,6000,5000,6000,1
0.857,-1,0.8448,0.864333333,-1,0.843,10000,6000,5000,6000,1
0.943,-1,0.8844,0.942333333,-1,0.876,10000,6000,5000,6000,1
0.845,-1,0.9186,0.842142857,-1,0.916428571,10000,7000,5000,1,0
0.9148,-1,0.918,0.909571429,-1,0.914285714,10000,7000,5000,1,0
0.8748,-1,0.92,0.862,-1,0.913142857,10000,7000,5000,1,0
0.9794,-1,0.922,0.978857143,-1,0.922428571,10000,7000,5000,1,0
0.967,-1,0.9164,0.964571429,-1,0.911857143,10000,7000,5000,1,0
0.9518,-1,0.8922,0.950142857,-1,0.893571429,10000,7000,5000,7000,1
0.931,-1,0.922,0.928571429,-1,0.918571429,10000,7000,5000,7000,1
0.9612,-1,0.8626,0.964142857,-1,0.873571429,10000,7000,5000,7000,1
0.9144,-1,0.9238,0.901857143,-1,0.917142857,10000,7000,5000,7000,1
0.8644,-1,0.904,0.855285714,-1,0.896142857,10000,7000,5000,7000,1
0.9134,-1,0.9512,0.908,-1,0.951625,10000,8000,5000,1,0
0.896,-1,0.9382,0.891875,-1,0.93175,10000,8000,5000,1,0
0.9444,-1,0.9342,0.93825,-1,0.934625,10000,8000,5000,1,0
0.8436,-1,0.9378,0.841625,-1,0.943625,10000,8000,5000,1,0
0.8808,-1,0.943,0.888875,-1,0.946625,10000,8000,5000,1,0
0.8744,-1,0.9528,0.874625,-1,0.956125,10000,8000,5000,8000,1
0.916,-1,0.8872,0.9225,-1,0.89,10000,8000,5000,8000,1
0.9798,-1,0.9388,0.9755,-1,0.936625,10000,8000,5000,8000,1
0.958,-1,0.9586,0.9565,-1,0.95775,10000,8000,5000,8000,1
0.9244,-1,0.9456,0.918375,-1,0.947125,10000,8000,5000,8000,1
0.9786,-1,0.9786,0.976666667,-1,0.976666667,10000,9000,5000,1,0
0.9416,-1,0.9748,0.94,-1,0.972111111,10000,9000,5000,1,0
0.8936,-1,0.9728,0.899666667,-1,0.975555556,10000,9000,5000,1,0
0.8472,-1,0.9778,0.852777778,-1,0.977111111,10000,9000,5000,1,0
0.9004,-1,0.9406,0.906,-1,0.950555556,10000,9000,5000,1,0
0.9112,-1,0.966,0.911333333,-1,0.965444444,10000,9000,5000,9000,1
0.9056,-1,0.905,0.909333333,-1,0.898888889,10000,9000,5000,9000,1
0.8912,-1,0.9384,0.901777778,-1,0.942444444,10000,9000,5000,9000,1
0.9408,-1,0.9416,0.940555556,-1,0.942111111,10000,9000,5000,9000,1
0.965,-1,0.9576,0.960777778,-1,0.953111111,10000,9000,5000,9000,1
