n,m,k,e,eta,max_round,subsize,score
100,100,1,5,0.1,10000,1,0.92
100,100,1,5,0.1,10000,1,0.99
100,100,1,5,0.1,10000,1,1
100,100,1,5,0.1,10000,1,0.91
100,100,1,5,0.1,10000,1,1
100,100,1,5,0.1,10000,1,0.95
100,100,1,5,0.1,10000,1,1
100,100,1,5,0.1,10000,1,0.93
100,100,1,5,0.1,10000,1,0.93
100,100,1,5,0.1,10000,1,0.96
100,100,2,5,0.1,10000,1,0.49
100,100,2,5,0.1,10000,1,0.51
100,100,2,5,0.1,10000,1,0.63
100,100,2,5,0.1,10000,1,0.49
100,100,2,5,0.1,10000,1,0.51
100,100,2,5,0.1,10000,1,0.51
100,100,2,5,0.1,10000,1,0.51
100,100,2,5,0.1,10000,1,0.51
100,100,2,5,0.1,10000,1,0.55
100,100,2,5,0.1,10000,1,0.51
100,100,3,5,0.1,10000,1,0.49
100,100,3,5,0.1,10000,1,0.49
100,100,3,5,0.1,10000,1,0.51
100,100,3,5,0.1,10000,1,0.51
100,100,3,5,0.1,10000,1,0.51
100,100,3,5,0.1,10000,1,0.49
100,100,3,5,0.1,10000,1,0.51
100,100,3,5,0.1,10000,1,0.51
100,100,3,5,0.1,10000,1,0.51
100,100,3,5,0.1,10000,1,0.51
100,100,4,5,0.1,10000,1,0.52
100,100,4,5,0.1,10000,1,0.52
100,100,4,5,0.1,10000,1,0.52
100,100,4,5,0.1,10000,1,0.48
100,100,4,5,0.1,10000,1,0.52
100,100,4,5,0.1,10000,1,0.52
100,100,4,5,0.1,10000,1,0.52
100,100,4,5,0.1,10000,1,0.48
100,100,4,5,0.1,10000,1,0.48
100,100,4,5,0.1,10000,1,0.48
100,100,5,5,0.1,10000,1,0.46
100,100,5,5,0.1,10000,1,0.54
100,100,5,5,0.1,10000,1,0.46
100,100,5,5,0.1,10000,1,0.54
100,100,5,5,0.1,10000,1,0.54
100,100,5,5,0.1,10000,1,0.54
100,100,5,5,0.1,10000,1,0.54
100,100,5,5,0.1,10000,1,0.54
100,100,5,5,0.1,10000,1,0.46
100,100,5,5,0.1,10000,1,0.54
100,100,6,5,0.1,10000,1,0.51
100,100,6,5,0.1,10000,1,0.49
100,100,6,5,0.1,10000,1,0.51
100,100,6,5,0.1,10000,1,0.49
100,100,6,5,0.1,10000,1,0.49
100,100,6,5,0.1,10000,1,0.49
100,100,6,5,0.1,10000,1,0.51
100,100,6,5,0.1,10000,1,0.49
100,100,6,5,0.1,10000,1,0.49
100,100,6,5,0.1,10000,1,0.49
100,100,7,5,0.1,10000,1,0.53
100,100,7,5,0.1,10000,1,0.47
100,100,7,5,0.1,10000,1,0.53
100,100,7,5,0.1,10000,1,0.47
100,100,7,5,0.1,10000,1,0.53
100,100,7,5,0.1,10000,1,0.53
100,100,7,5,0.1,10000,1,0.47
100,100,7,5,0.1,10000,1,0.47
100,100,7,5,0.1,10000,1,0.47
100,100,7,5,0.1,10000,1,0.47
100,100,8,5,0.1,10000,1,0.51
100,100,8,5,0.1,10000,1,0.49
100,100,8,5,0.1,10000,1,0.51
100,100,8,5,0.1,10000,1,0.49
100,100,8,5,0.1,10000,1,0.49
100,100,8,5,0.1,10000,1,0.49
100,100,8,5,0.1,10000,1,0.49
100,100,8,5,0.1,10000,1,0.49
100,100,8,5,0.1,10000,1,0.49
100,100,8,5,0.1,10000,1,0.49
100,100,9,5,0.1,10000,1,0.52
100,100,9,5,0.1,10000,1,0.48
100,100,9,5,0.1,10000,1,0.52
100,100,9,5,0.1,10000,1,0.48
100,100,9,5,0.1,10000,1,0.52
100,100,9,5,0.1,10000,1,0.52
100,100,9,5,0.1,10000,1,0.48
100,100,9,5,0.1,10000,1,0.48
100,100,9,5,0.1,10000,1,0.48
100,100,9,5,0.1,10000,1,0.48
100,100,10,5,0.1,10000,1,0.52
100,100,10,5,0.1,10000,1,0.48
100,100,10,5,0.1,10000,1,0.52
100,100,10,5,0.1,10000,1,0.48
100,100,10,5,0.1,10000,1,0.52
100,100,10,5,0.1,10000,1,0.48
100,100,10,5,0.1,10000,1,0.48
100,100,10,5,0.1,10000,1,0.52
100,100,10,5,0.1,10000,1,0.52
100,100,10,5,0.1,10000,1,0.52
